fips,indicator,value
16059,food_insecurity,11.8
16061,food_insecurity,14.7
16063,food_insecurity,9.2
16065,food_insecurity,10.8
16067,food_insecurity,9.5
16069,food_insecurity,10.5
16071,food_insecurity,9.6
16073,food_insecurity,10.7
16075,food_insecurity,10.0
16077,food_insecurity,8.6
16079,food_insecurity,15.7
16081,food_insecurity,6.2
16083,food_insecurity,9.9
16085,food_insecurity,9.3
16087,food_insecurity,10.5
17001,food_insecurity,10.6
17003,food_insecurity,17.3
17005,food_insecurity,10.8
17007,food_insecurity,9.1
17009,food_insecurity,8.0
17011,food_insecurity,10.4
17013,food_insecurity,9.7
17015,food_insecurity,10.2
17017,food_insecurity,10.3
17019,food_insecurity,10.5
17021,food_insecurity,10.6
17023,food_insecurity,10.0
17025,food_insecurity,14.4
17027,food_insecurity,8.1
17029,food_insecurity,14.2
17031,food_insecurity,10.9
17033,food_insecurity,10.4
17035,food_insecurity,9.3
17037,food_insecurity,11.1
17039,food_insecurity,9.0
17041,food_insecurity,8.7
17043,food_insecurity,6.7
17045,food_insecurity,10.7
17047,food_insecurity,11.3
17049,food_insecurity,9.7
17051,food_insecurity,12.3
17053,food_insecurity,10.6
17055,food_insecurity,16.1
17057,food_insecurity,11.8
17059,food_insecurity,16.3
17061,food_insecurity,10.6
17063,food_insecurity,8.2
17065,food_insecurity,12.0
17067,food_insecurity,10.8
17069,food_insecurity,14.2
17071,food_insecurity,9.2
17073,food_insecurity,9.9
17075,food_insecurity,10.1
17077,food_insecurity,14.2
17079,food_insecurity,10.5
17081,food_insecurity,13.5
17083,food_insecurity,8.7
17085,food_insecurity,10.1
17087,food_insecurity,10.9
17089,food_insecurity,7.3
17091,food_insecurity,10.8
17093,food_insecurity,5.1
17095,food_insecurity,13.0
17097,food_insecurity,7.1
17099,food_insecurity,11.7
17101,food_insecurity,12.3
17103,food_insecurity,10.9
17105,food_insecurity,10.8
17107,food_insecurity,9.8
17109,food_insecurity,11.8
17111,food_insecurity,7.2
17113,food_insecurity,9.2
17115,food_insecurity,12.5
17117,food_insecurity,11.1
17119,food_insecurity,10.4
17121,food_insecurity,13.7
17123,food_insecurity,10.1
17125,food_insecurity,12.9
17127,food_insecurity,14.3
17129,food_insecurity,8.5
17131,food_insecurity,9.8
17133,food_insecurity,5.2
17135,food_insecurity,12.6
17137,food_insecurity,11.4
17139,food_insecurity,8.1
17141,food_insecurity,9.9
17143,food_insecurity,12.5
17145,food_insecurity,14.3
17147,food_insecurity,6.8
17149,food_insecurity,11.1
17151,food_insecurity,16.1
17153,food_insecurity,15.1
17155,food_insecurity,9.7
17157,food_insecurity,10.8
17159,food_insecurity,11.6
17161,food_insecurity,11.6
17163,food_insecurity,11.0
17165,food_insecurity,15.6
17167,food_insecurity,11.2
17169,food_insecurity,13.2
17171,food_insecurity,10.0
17173,food_insecurity,9.4
17175,food_insecurity,10.7
17177,food_insecurity,11.6
17179,food_insecurity,9.2
17181,food_insecurity,13.2
17183,food_insecurity,12.9
17185,food_insecurity,11.9
17187,food_insecurity,9.4
17189,food_insecurity,7.7
17191,food_insecurity,12.2
17193,food_insecurity,12.8
17195,food_insecurity,9.8
17197,food_insecurity,6.8
17199,food_insecurity,12.8
17201,food_insecurity,13.2
17203,food_insecurity,6.9
18001,food_insecurity,12.0
18003,food_insecurity,12.0
18005,food_insecurity,12.1
18007,food_insecurity,12.7
18009,food_insecurity,16.2
18011,food_insecurity,7.5
18013,food_insecurity,10.4
18015,food_insecurity,10.4
18017,food_insecurity,12.3
18019,food_insecurity,11.2
18021,food_insecurity,12.6
18023,food_insecurity,11.1
18025,food_insecurity,15.4
18027,food_insecurity,11.0
18029,food_insecurity,10.5
18031,food_insecurity,12.0
18033,food_insecurity,11.3
18035,food_insecurity,15.1
18037,food_insecurity,9.2
18039,food_insecurity,11.3
18041,food_insecurity,17.0
18043,food_insecurity,10.6
18045,food_insecurity,13.1
18047,food_insecurity,9.7
18049,food_insecurity,12.9
18051,food_insecurity,11.1
18053,food_insecurity,14.9
18055,food_insecurity,13.3
18057,food_insecurity,6.8
18059,food_insecurity,8.8
18061,food_insecurity,11.0
18063,food_insecurity,7.4
18065,food_insecurity,13.5
18067,food_insecurity,14.4
18069,food_insecurity,11.9
18071,food_insecurity,13.3
18073,food_insecurity,11.0
18075,food_insecurity,13.4
18077,food_insecurity,14.3
18079,food_insecurity,12.6
18081,food_insecurity,9.4
18083,food_insecurity,14.4
18085,food_insecurity,10.5
18087,food_insecurity,8.7
18089,food_insecurity,13.1
18091,food_insecurity,13.9
18093,food_insecurity,12.3
18095,food_insecurity,14.5
18097,food_insecurity,13.4
