entrez,n_bisphenols,bisphenols,n_assays,min_ac50
3158,2,BPAF|TBBPA,2,81.7766846834018
3303,2,BPAF|BPB,2,37.3288897700136
4609,2,BPAF|TBBPA,2,32.9987649975857
51,2,BPB|TBBPA,2,37.7549105010984
54658,2,BPAF|TBBPA,2,10.2082210466651
6822,2,BPAF|TBBPA,2,81.7766134503845
7040,2,BPAF|TBBPA,2,40.1848123449398
112744,2,TBBPA-DHEE|TBu-EBP,1,10.0
1277,2,"3,3-diMe-BPA|TBBPA-DHEE",1,10.0
1544,2,BPA|BPB,1,53.6413833645057
1581,2,BPAF|BPB,1,69.5690139430072
1812,2,BPAF|BPB,1,3.12777725384829
2247,2,TBBPA-DHEE|TCBPA,1,10.0
23089,2,BPB|TBBPA,1,41.292850687201
2939,2,BPAF|TBBPA,1,50.3134714813823
3361,2,BPAF|BPB,1,8.76515648114158
3363,2,BPAF|BPB,1,9.37995508268299
3558,2,TBBPA-DHEE|TBu-EBP,1,3.99999999974246
3570,2,BPAF|BPB,1,76.9931365857666
3605,2,TBBPA-DHEE|TBu-EBP,1,10.0
3791,2,TBBPA-DHEE|TCBPA,1,10.0
389434,2,TBBPA|TCBPA,1,98.8693730684942
3949,2,"3,3-diMe-BPA|BPAF",1,20.0000000016587
4023,2,BPAF|TBBPA,1,73.6233894023599
422165,2,BPS|TCBPA,1,7.62580269441316
595,2,BPB|TBBPA,1,32.6034067022401
7039,2,BPAF|TBBPA,1,68.317171565024
706,2,BADGE|BPB,1,8.69591929097339
7069,2,BPAF|BPB,1,3.91300827209782
747460,2,BPA|BPF,1,18.7658262223372
8837,2,BPB|TBBPA,1,39.4731602208766
557037,1,TBBPA,2,8.4705061283189
10018,1,BPAF,1,58.7205907923559
100379235,1,BPAF,1,16.4328662324266
101947425,1,BPS,1,17.4483396240962
1026,1,TBBPA,1,81.7766958118011
1051,1,TBBPA-DHEE,1,40.9712017327888
10599,1,BPB,1,49.3589768232016
1128,1,BPAF,1,26.3689743885742
1132,1,BPAF,1,23.594440962692
1133,1,BPAF,1,22.5820982346073
12426,1,BPA,1,19.2901608144278
1282,1,TBBPA-DHEE,1,10.0
135,1,BPAF,1,28.8639786350697
152,1,BPAF,1,14.5332650447352
153,1,BPAF,1,20.0479401022898
154,1,BPAF,1,21.7310035926445
1562,1,BPA,1,6.35293099805886
1571,1,TBBPA,1,81.7760506495914
1573,1,BPA,1,5.29863606779121
1634,1,TBBPA-DHEE,1,10.0
1649,1,BPAF,1,87.7715933023984
171521,1,BPA,1,2.41470697447695
1813,1,BPAF,1,12.0386296734363
1815,1,BPAF,1,17.743645980899
1845,1,"3,3-diMe-BPA",1,8.58328863437703
1950,1,BPAF,1,81.7990986356176
2113,1,TBBPA-DHEE,1,40.9036651344922
2168,1,BPAF,1,84.1940151898726
2194,1,BPB,1,37.8425291730707
22926,1,TBBPA,1,60.6814657014781
2308,1,BPAF,1,87.7237566759722
2328,1,BPAF,1,93.8466055228902
23410,1,BPAF,1,40.9889111921663
24173,1,BPAF,1,40.954375197924
24894,1,BPA,1,2.80293934291214
24895,1,BPA,1,3.19665305657636
250,1,BPAF,1,81.8202589222031
25342,1,BPAF,1,14.9567566211373
25553,1,TBBPA-DHEE,1,2.98549030565992
25672,1,BPAF,1,18.4662317361329
2623,1,BisGMA,1,163.620836488361
2729,1,TBBPA,1,65.7866532210511
29277,1,BPA,1,0.764608159901008
30607,1,TBBPA,1,11.9960341934339
3082,1,BPB,1,85.341707895313
3170,1,TBBPA-DHEE,1,40.9202060032423
3172,1,TBBPA,1,43.6536498795255
3175,1,TBBPA-DHEE,1,40.9217909276647
3358,1,BPAF,1,1.4788959346243
3479,1,TBBPA,1,81.7931909879683
3484,1,BPAF,1,68.7871309355701
355,1,TBBPA,1,81.7766560433152
399456,1,BPS,1,11.7132215328301
4314,1,BPAF,1,81.7483180819497
4319,1,BPAF,1,81.8020192709928
445522,1,BPB,1,148.407411277834
4602,1,BisGMA,1,163.393957660066
4899,1,TBBPA,1,49.0780671616253
4987,1,BPAF,1,23.2015037894413
5166,1,TBBPA,1,81.7767036073304
5562,1,BPAF,1,21.3873701693234
581,1,TBBPA,1,43.5323244354883
6256,1,TBu-EBP,1,3.20137662798706
6390,1,BPB,1,35.7461537167622
6580,1,TBBPA,1,51.4188106128602
66002,1,BPAF,1,3.41989267582122
7068,1,BPAF,1,57.2455222122692
7132,1,BPAF,1,59.4213630990703
7430,1,BPB,1,40.8614280077613
836,1,TBBPA,1,67.571471090241
847,1,BPAF,1,86.9956137527008
8714,1,BPB,1,31.3561374345398
9429,1,BPB,1,91.3840051160278
