sym,goid,goLabel
SLC22A1,GO_0042908,xenobiotic transport
ABCC3,GO_0042908,xenobiotic transport
NR1I2,GO_0042908,xenobiotic transport
NR3C1,GO_0042921,nuclear receptor-mediated glucocorticoid signaling pathway
BCL2L11,GO_0042981,regulation of apoptotic process
RARA,GO_0042981,regulation of apoptotic process
FAS,GO_0042981,regulation of apoptotic process
BAX,GO_0042981,regulation of apoptotic process
CYP1A1,GO_0043010,camera-type eye development
PAX6,GO_0043010,camera-type eye development
TNF,GO_0043065,positive regulation of apoptotic process
TGFB1,GO_0043065,positive regulation of apoptotic process
FOXO3,GO_0043065,positive regulation of apoptotic process
TP53,GO_0043065,positive regulation of apoptotic process
BCL2L11,GO_0043065,positive regulation of apoptotic process
IL6,GO_0043065,positive regulation of apoptotic process
ATF6,GO_0043065,positive regulation of apoptotic process
TSPO,GO_0043065,positive regulation of apoptotic process
FAS,GO_0043065,positive regulation of apoptotic process
CASP3,GO_0043065,positive regulation of apoptotic process
BAX,GO_0043065,positive regulation of apoptotic process
FOXO1,GO_0043065,positive regulation of apoptotic process
MYC,GO_0043066,negative regulation of apoptotic process
TP53,GO_0043066,negative regulation of apoptotic process
TIMP1,GO_0043066,negative regulation of apoptotic process
CAT,GO_0043066,negative regulation of apoptotic process
TNF,GO_0043066,negative regulation of apoptotic process
HGF,GO_0043066,negative regulation of apoptotic process
SRC,GO_0043066,negative regulation of apoptotic process
HSPA1A,GO_0043066,negative regulation of apoptotic process
MMP9,GO_0043066,negative regulation of apoptotic process
IL6,GO_0043066,negative regulation of apoptotic process
CD38,GO_0043066,negative regulation of apoptotic process
KDR,GO_0043066,negative regulation of apoptotic process
ADORA1,GO_0043066,negative regulation of apoptotic process
XBP1,GO_0043066,negative regulation of apoptotic process
FAS,GO_0043066,negative regulation of apoptotic process
NR1H4,GO_0043066,negative regulation of apoptotic process
PRKAA1,GO_0043066,negative regulation of apoptotic process
FOXO1,GO_0043066,negative regulation of apoptotic process
SHH,GO_0043066,negative regulation of apoptotic process
IL2,GO_0043066,negative regulation of apoptotic process
PLAUR,GO_0043066,negative regulation of apoptotic process
PPARD,GO_0043066,negative regulation of apoptotic process
TNF,GO_0043068,positive regulation of programmed cell death
TIMP1,GO_0043086,negative regulation of catalytic activity
SRC,GO_0043114,regulation of vascular permeability
PRKAA1,GO_0043114,regulation of vascular permeability
ADORA2A,GO_0043116,negative regulation of vascular permeability
TGFB1,GO_0043117,positive regulation of vascular permeability
TNF,GO_0043122,regulation of canonical NF-kappaB signal transduction
TGFB1,GO_0043123,positive regulation of canonical NF-kappaB signal transduction
TNF,GO_0043123,positive regulation of canonical NF-kappaB signal transduction
HSPA1A,GO_0043123,positive regulation of canonical NF-kappaB signal transduction
CD40,GO_0043123,positive regulation of canonical NF-kappaB signal transduction
TNFRSF1A,GO_0043123,positive regulation of canonical NF-kappaB signal transduction
ESR1,GO_0043124,negative regulation of canonical NF-kappaB signal transduction
RORA,GO_0043124,negative regulation of canonical NF-kappaB signal transduction
NR1H4,GO_0043124,negative regulation of canonical NF-kappaB signal transduction
SRC,GO_0043149,stress fiber assembly
TP53,GO_0043153,entrainment of circadian clock by photoperiod
DDIT3,GO_0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
NFE2L2,GO_0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
CASP3,GO_0043200,response to amino acid
PIK3CA,GO_0043201,response to L-leucine
TNF,GO_0043243,positive regulation of protein-containing complex disassembly
SLCO1B1,GO_0043252,sodium-independent organic anion transport
DRD2,GO_0043266,regulation of potassium ion transport
ADORA1,GO_0043268,positive regulation of potassium ion transport
DRD1,GO_0043268,positive regulation of potassium ion transport
PIK3CA,GO_0043276,anoikis
RARA,GO_0043277,apoptotic cell clearance
DRD2,GO_0043278,response to morphine
ADORA2A,GO_0043279,response to alkaloid
SHH,GO_0043369,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment"
HLA-DRA,GO_0043382,positive regulation of memory T cell differentiation
EGF,GO_0043388,positive regulation of DNA binding
MMP9,GO_0043388,positive regulation of DNA binding
PLAUR,GO_0043388,positive regulation of DNA binding
JUN,GO_0043392,negative regulation of DNA binding
HTR2C,GO_0043397,regulation of corticotropin-releasing hormone secretion
ESR1,GO_0043401,steroid hormone receptor signaling pathway
PGR,GO_0043401,steroid hormone receptor signaling pathway
FGF2,GO_0043406,positive regulation of MAP kinase activity
DRD2,GO_0043408,regulation of MAPK cascade
PPARG,GO_0043409,negative regulation of MAPK cascade
DUSP3,GO_0043409,negative regulation of MAPK cascade
TGFB1,GO_0043410,positive regulation of MAPK cascade
EGF,GO_0043410,positive regulation of MAPK cascade
TNF,GO_0043410,positive regulation of MAPK cascade
FGF2,GO_0043410,positive regulation of MAPK cascade
IL6,GO_0043410,positive regulation of MAPK cascade
ADRB2,GO_0043410,positive regulation of MAPK cascade
HGF,GO_0043410,positive regulation of MAPK cascade
DRD4,GO_0043410,positive regulation of MAPK cascade
CD40,GO_0043410,positive regulation of MAPK cascade
ADORA1,GO_0043410,positive regulation of MAPK cascade
ADRA2C,GO_0043410,positive regulation of MAPK cascade
KDR,GO_0043410,positive regulation of MAPK cascade
PPARD,GO_0043415,positive regulation of skeletal muscle tissue regeneration
TIMP1,GO_0043434,response to peptide hormone
COL1A1,GO_0043434,response to peptide hormone
SREBF1,GO_0043434,response to peptide hormone
HMGCS2,GO_0043434,response to peptide hormone
PIK3CA,GO_0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction
EGR1,GO_0043523,regulation of neuron apoptotic process
CASP3,GO_0043523,regulation of neuron apoptotic process
CCL2,GO_0043524,negative regulation of neuron apoptotic process
ADORA2A,GO_0043524,negative regulation of neuron apoptotic process
KDR,GO_0043524,negative regulation of neuron apoptotic process
FOXO3,GO_0043525,positive regulation of neuron apoptotic process
TNF,GO_0043525,positive regulation of neuron apoptotic process
DDIT3,GO_0043525,positive regulation of neuron apoptotic process
BAX,GO_0043525,positive regulation of neuron apoptotic process
CASP3,GO_0043525,positive regulation of neuron apoptotic process
TGFB1,GO_0043536,positive regulation of blood vessel endothelial cell migration
SP1,GO_0043536,positive regulation of blood vessel endothelial cell migration
FGF2,GO_0043536,positive regulation of blood vessel endothelial cell migration
CD40,GO_0043536,positive regulation of blood vessel endothelial cell migration
KDR,GO_0043536,positive regulation of blood vessel endothelial cell migration
NFE2L2,GO_0043536,positive regulation of blood vessel endothelial cell migration
HIF1A,GO_0043536,positive regulation of blood vessel endothelial cell migration
TNF,GO_0043537,negative regulation of blood vessel endothelial cell migration
TGFB1,GO_0043537,negative regulation of blood vessel endothelial cell migration
FGF2,GO_0043537,negative regulation of blood vessel endothelial cell migration
PPARG,GO_0043537,negative regulation of blood vessel endothelial cell migration
PIK3CA,GO_0043542,endothelial cell migration
COL3A1,GO_0043588,skin development
COL1A1,GO_0043589,skin morphogenesis
CCL2,GO_0043615,astrocyte cell migration
IL17A,GO_0043616,keratinocyte proliferation
EZR,GO_0043622,cortical microtubule organization
ESR1,GO_0043627,response to estrogen
CCND1,GO_0043627,response to estrogen
PRKAA1,GO_0043627,response to estrogen
CYP2J2,GO_0043651,linoleic acid metabolic process
BAX,GO_0043653,mitochondrial fragmentation involved in apoptotic process
EGR1,GO_0044029,positive regulation of gene expression via chromosomal CpG island demethylation
ADK,GO_0044209,AMP salvage
CYP24A1,GO_0044283,small molecule biosynthetic process
CCND1,GO_0044321,response to leptin
COL1A1,GO_0044344,cellular response to fibroblast growth factor stimulus
CCL2,GO_0044344,cellular response to fibroblast growth factor stimulus
CXCL8,GO_0044344,cellular response to fibroblast growth factor stimulus
MYC,GO_0044346,fibroblast apoptotic process
EGR1,GO_0044849,estrous cycle
TSPO,GO_0045019,negative regulation of nitric oxide biosynthetic process
SHH,GO_0045059,positive thymic T cell selection
SHH,GO_0045060,negative thymic T cell selection
TGFB1,GO_0045066,regulatory T cell differentiation
TNF,GO_0045071,negative regulation of viral genome replication
TNF,GO_0045087,innate immune response
CSF1,GO_0045087,innate immune response
MMP3,GO_0045087,innate immune response
NQO1,GO_0045087,innate immune response
PPARG,GO_0045087,innate immune response
IL17A,GO_0045087,innate immune response
NR1H4,GO_0045087,innate immune response
NFE2L2,GO_0045088,regulation of innate immune response
CXCL8,GO_0045091,regulation of single stranded viral RNA replication via double stranded DNA intermediate
SRC,GO_0045124,regulation of bone resorption
PDK4,GO_0045124,regulation of bone resorption
PPARG,GO_0045165,cell fate commitment
SHH,GO_0045165,cell fate commitment
ADRB1,GO_0045187,"regulation of circadian sleep/wake cycle, sleep"
EZR,GO_0045198,establishment of epithelial cell apical/basal polarity
TGFB1,GO_0045216,cell-cell junction organization
XBP1,GO_0045348,positive regulation of MHC class II biosynthetic process
TNF,GO_0045429,positive regulation of nitric oxide biosynthetic process
FOXO1,GO_0045444,fat cell differentiation
NR4A2,GO_0045444,fat cell differentiation
SRC,GO_0045453,bone resorption
NQO1,GO_0045454,cell redox homeostasis
NFE2L2,GO_0045454,cell redox homeostasis
FOS,GO_0045471,response to ethanol
TGFB1,GO_0045471,response to ethanol
TNF,GO_0045471,response to ethanol
CAT,GO_0045471,response to ethanol
FGF2,GO_0045471,response to ethanol
RARA,GO_0045471,response to ethanol
DRD2,GO_0045471,response to ethanol
SREBF1,GO_0045471,response to ethanol
CCND1,GO_0045471,response to ethanol
VCAM1,GO_0045471,response to ethanol
OPRD1,GO_0045471,response to ethanol
PPARA,GO_0045471,response to ethanol
CASP3,GO_0045471,response to ethanol
HMGCS2,GO_0045471,response to ethanol
SLC6A3,GO_0045471,response to ethanol
IL2,GO_0045471,response to ethanol
EGR1,GO_0045475,locomotor rhythm
PTEN,GO_0045475,locomotor rhythm
SREBF1,GO_0045542,positive regulation of cholesterol biosynthetic process
PRKAA1,GO_0045542,positive regulation of cholesterol biosynthetic process
XBP1,GO_0045579,positive regulation of B cell differentiation
XBP1,GO_0045582,positive regulation of T cell differentiation
IL2,GO_0045582,positive regulation of T cell differentiation
TGFB1,GO_0045591,positive regulation of regulatory T cell differentiation
FOXO3,GO_0045591,positive regulation of regulatory T cell differentiation
IL2,GO_0045591,positive regulation of regulatory T cell differentiation
PTEN,GO_0045595,regulation of cell differentiation
TGFB1,GO_0045596,negative regulation of cell differentiation
SHH,GO_0045596,negative regulation of cell differentiation
TGFB1,GO_0045597,positive regulation of cell differentiation
AR,GO_0045597,positive regulation of cell differentiation
TNF,GO_0045598,regulation of fat cell differentiation
RORC,GO_0045598,regulation of fat cell differentiation
TGFB1,GO_0045599,negative regulation of fat cell differentiation
TNF,GO_0045599,negative regulation of fat cell differentiation
IL6,GO_0045599,negative regulation of fat cell differentiation
RORA,GO_0045599,negative regulation of fat cell differentiation
FOXO1,GO_0045599,negative regulation of fat cell differentiation
LPL,GO_0045600,positive regulation of fat cell differentiation
XBP1,GO_0045600,positive regulation of fat cell differentiation
PPARG,GO_0045600,positive regulation of fat cell differentiation
CEBPB,GO_0045600,positive regulation of fat cell differentiation
PPARD,GO_0045600,positive regulation of fat cell differentiation
VDR,GO_0045618,positive regulation of keratinocyte differentiation
IL2,GO_0045621,positive regulation of lymphocyte differentiation
HLA-DRA,GO_0045622,regulation of T-helper cell differentiation
RARA,GO_0045630,positive regulation of T-helper 2 cell differentiation
HSPA1A,GO_0045648,positive regulation of erythrocyte differentiation
HIF1A,GO_0045648,positive regulation of erythrocyte differentiation
CSF1,GO_0045651,positive regulation of macrophage differentiation
HSF1,GO_0045651,positive regulation of macrophage differentiation
MYC,GO_0045656,negative regulation of monocyte differentiation
CSF1,GO_0045657,positive regulation of monocyte differentiation
TGFB1,GO_0045662,negative regulation of myoblast differentiation
DDIT3,GO_0045662,negative regulation of myoblast differentiation
PPARD,GO_0045662,negative regulation of myoblast differentiation
FOXO3,GO_0045665,negative regulation of neuron differentiation
RARA,GO_0045666,positive regulation of neuron differentiation
ADRA2C,GO_0045666,positive regulation of neuron differentiation
GLI1,GO_0045667,regulation of osteoblast differentiation
TNF,GO_0045668,negative regulation of osteoblast differentiation
PTEN,GO_0045668,negative regulation of osteoblast differentiation
IL6,GO_0045669,positive regulation of osteoblast differentiation
IL6R,GO_0045669,positive regulation of osteoblast differentiation
HGF,GO_0045669,positive regulation of osteoblast differentiation
CEBPB,GO_0045670,regulation of osteoclast differentiation
TNF,GO_0045672,positive regulation of osteoclast differentiation
CSF1,GO_0045672,positive regulation of osteoclast differentiation
IL17A,GO_0045672,positive regulation of osteoclast differentiation
PPARD,GO_0045684,positive regulation of epidermis development
FOXO1,GO_0045722,positive regulation of gluconeogenesis
AR,GO_0045726,positive regulation of integrin biosynthetic process
IL6,GO_0045727,positive regulation of translation
CXCL8,GO_0045730,respiratory burst
TNF,GO_0045732,positive regulation of protein catabolic process
EZR,GO_0045732,positive regulation of protein catabolic process
FOXO1,GO_0045732,positive regulation of protein catabolic process
H2AX,GO_0045739,positive regulation of DNA repair
GLI1,GO_0045740,positive regulation of DNA replication
CDKN1A,GO_0045740,positive regulation of DNA replication
PLAU,GO_0045742,positive regulation of epidermal growth factor receptor signaling pathway
MMP9,GO_0045742,positive regulation of epidermal growth factor receptor signaling pathway
PLAUR,GO_0045742,positive regulation of epidermal growth factor receptor signaling pathway
CXCL8,GO_0045744,negative regulation of G protein-coupled receptor signaling pathway
ADRB2,GO_0045744,negative regulation of G protein-coupled receptor signaling pathway
DRD2,GO_0045745,positive regulation of G protein-coupled receptor signaling pathway
ADORA1,GO_0045745,positive regulation of G protein-coupled receptor signaling pathway
SRC,GO_0045747,positive regulation of Notch signaling pathway
TNF,GO_0045760,positive regulation of action potential
FGF2,GO_0045765,regulation of angiogenesis
IL6,GO_0045765,regulation of angiogenesis
SERPINE1,GO_0045766,positive regulation of angiogenesis
CXCL8,GO_0045766,positive regulation of angiogenesis
FGF2,GO_0045766,positive regulation of angiogenesis
F3,GO_0045766,positive regulation of angiogenesis
SP1,GO_0045766,positive regulation of angiogenesis
CD40,GO_0045766,positive regulation of angiogenesis
XBP1,GO_0045766,positive regulation of angiogenesis
KDR,GO_0045766,positive regulation of angiogenesis
HIF1A,GO_0045766,positive regulation of angiogenesis
NFE2L2,GO_0045766,positive regulation of angiogenesis
DRD2,GO_0045776,negative regulation of blood pressure
ADORA1,GO_0045776,negative regulation of blood pressure
PPARA,GO_0045776,negative regulation of blood pressure
ADORA1,GO_0045777,positive regulation of blood pressure
IL6,GO_0045779,negative regulation of bone resorption
CD38,GO_0045779,negative regulation of bone resorption
TNF,GO_0045785,positive regulation of cell adhesion
TGFB1,GO_0045786,negative regulation of cell cycle
RARA,GO_0045787,positive regulation of cell cycle
PTEN,GO_0045792,negative regulation of cell size
TP53,GO_0045815,transcription initiation-coupled chromatin remodeling
PPARA,GO_0045820,negative regulation of glycolytic process
SRC,GO_0045821,positive regulation of glycolytic process
PRKAA1,GO_0045821,positive regulation of glycolytic process
ADRB1,GO_0045823,positive regulation of heart contraction
DRD2,GO_0045824,negative regulation of innate immune response
PPARG,GO_0045834,positive regulation of lipid metabolic process
RXRA,GO_0045834,positive regulation of lipid metabolic process
EGF,GO_0045840,positive regulation of mitotic nuclear division
TNF,GO_0045840,positive regulation of mitotic nuclear division
SERPINE1,GO_0045861,negative regulation of proteolysis
PLAT,GO_0045861,negative regulation of proteolysis
TIMP1,GO_0045861,negative regulation of proteolysis
GLI1,GO_0045880,positive regulation of smoothened signaling pathway
SHH,GO_0045880,positive regulation of smoothened signaling pathway
NR3C1,GO_0045892,negative regulation of DNA-templated transcription
TGFB1,GO_0045892,negative regulation of DNA-templated transcription
TNF,GO_0045892,negative regulation of DNA-templated transcription
TP53,GO_0045892,negative regulation of DNA-templated transcription
POU2F1,GO_0045892,negative regulation of DNA-templated transcription
THRA,GO_0045892,negative regulation of DNA-templated transcription
RARA,GO_0045892,negative regulation of DNA-templated transcription
JUN,GO_0045892,negative regulation of DNA-templated transcription
PPARG,GO_0045892,negative regulation of DNA-templated transcription
AHR,GO_0045892,negative regulation of DNA-templated transcription
DDIT3,GO_0045892,negative regulation of DNA-templated transcription
CD38,GO_0045892,negative regulation of DNA-templated transcription
HNF4A,GO_0045892,negative regulation of DNA-templated transcription
FOXO1,GO_0045892,negative regulation of DNA-templated transcription
PPARD,GO_0045892,negative regulation of DNA-templated transcription
TP53,GO_0045893,positive regulation of DNA-templated transcription
MYC,GO_0045893,positive regulation of DNA-templated transcription
FOS,GO_0045893,positive regulation of DNA-templated transcription
NR1I2,GO_0045893,positive regulation of DNA-templated transcription
TGFB1,GO_0045893,positive regulation of DNA-templated transcription
COL1A1,GO_0045893,positive regulation of DNA-templated transcription
EGF,GO_0045893,positive regulation of DNA-templated transcription
FOXO3,GO_0045893,positive regulation of DNA-templated transcription
ESR1,GO_0045893,positive regulation of DNA-templated transcription
NR3C1,GO_0045893,positive regulation of DNA-templated transcription
TNF,GO_0045893,positive regulation of DNA-templated transcription
SP1,GO_0045893,positive regulation of DNA-templated transcription
AR,GO_0045893,positive regulation of DNA-templated transcription
RARA,GO_0045893,positive regulation of DNA-templated transcription
GLI1,GO_0045893,positive regulation of DNA-templated transcription
JUN,GO_0045893,positive regulation of DNA-templated transcription
IL6,GO_0045893,positive regulation of DNA-templated transcription
RXRA,GO_0045893,positive regulation of DNA-templated transcription
PAX6,GO_0045893,positive regulation of DNA-templated transcription
SREBF1,GO_0045893,positive regulation of DNA-templated transcription
DDIT3,GO_0045893,positive regulation of DNA-templated transcription
AHR,GO_0045893,positive regulation of DNA-templated transcription
EGR1,GO_0045893,positive regulation of DNA-templated transcription
CD38,GO_0045893,positive regulation of DNA-templated transcription
PPARG,GO_0045893,positive regulation of DNA-templated transcription
RORA,GO_0045893,positive regulation of DNA-templated transcription
RXRB,GO_0045893,positive regulation of DNA-templated transcription
HNF4A,GO_0045893,positive regulation of DNA-templated transcription
RORC,GO_0045893,positive regulation of DNA-templated transcription
SHH,GO_0045893,positive regulation of DNA-templated transcription
NFE2L2,GO_0045893,positive regulation of DNA-templated transcription
FOXO1,GO_0045893,positive regulation of DNA-templated transcription
ESR2,GO_0045893,positive regulation of DNA-templated transcription
PPARD,GO_0045893,positive regulation of DNA-templated transcription
HIF1A,GO_0045893,positive regulation of DNA-templated transcription
PRKAA1,GO_0045893,positive regulation of DNA-templated transcription
PPARA,GO_0045893,positive regulation of DNA-templated transcription
NFIA,GO_0045893,positive regulation of DNA-templated transcription
TP53,GO_0045899,positive regulation of RNA polymerase II transcription preinitiation complex assembly
CD38,GO_0045907,positive regulation of vasoconstriction
CDKN1A,GO_0045926,negative regulation of growth
TNF,GO_0045930,negative regulation of mitotic cell cycle
HSF1,GO_0045931,positive regulation of mitotic cell cycle
DUSP3,GO_0045931,positive regulation of mitotic cell cycle
ADORA2A,GO_0045938,"positive regulation of circadian sleep/wake cycle, sleep"
UGT1A1,GO_0045939,negative regulation of steroid metabolic process
ESR1,GO_0045944,positive regulation of transcription by RNA polymerase II
TNF,GO_0045944,positive regulation of transcription by RNA polymerase II
FOS,GO_0045944,positive regulation of transcription by RNA polymerase II
CREB3,GO_0045944,positive regulation of transcription by RNA polymerase II
TP53,GO_0045944,positive regulation of transcription by RNA polymerase II
TGFB1,GO_0045944,positive regulation of transcription by RNA polymerase II
FOXO3,GO_0045944,positive regulation of transcription by RNA polymerase II
MYC,GO_0045944,positive regulation of transcription by RNA polymerase II
NR1I2,GO_0045944,positive regulation of transcription by RNA polymerase II
NR3C1,GO_0045944,positive regulation of transcription by RNA polymerase II
HGF,GO_0045944,positive regulation of transcription by RNA polymerase II
AR,GO_0045944,positive regulation of transcription by RNA polymerase II
FGF2,GO_0045944,positive regulation of transcription by RNA polymerase II
IL6,GO_0045944,positive regulation of transcription by RNA polymerase II
PGR,GO_0045944,positive regulation of transcription by RNA polymerase II
POU2F1,GO_0045944,positive regulation of transcription by RNA polymerase II
DRD2,GO_0045944,positive regulation of transcription by RNA polymerase II
THRB,GO_0045944,positive regulation of transcription by RNA polymerase II
ESRRA,GO_0045944,positive regulation of transcription by RNA polymerase II
SP1,GO_0045944,positive regulation of transcription by RNA polymerase II
JUN,GO_0045944,positive regulation of transcription by RNA polymerase II
GLI1,GO_0045944,positive regulation of transcription by RNA polymerase II
RARA,GO_0045944,positive regulation of transcription by RNA polymerase II
VDR,GO_0045944,positive regulation of transcription by RNA polymerase II
SREBF1,GO_0045944,positive regulation of transcription by RNA polymerase II
ATF6,GO_0045944,positive regulation of transcription by RNA polymerase II
XBP1,GO_0045944,positive regulation of transcription by RNA polymerase II
CEBPB,GO_0045944,positive regulation of transcription by RNA polymerase II
EGR1,GO_0045944,positive regulation of transcription by RNA polymerase II
PPARG,GO_0045944,positive regulation of transcription by RNA polymerase II
RXRA,GO_0045944,positive regulation of transcription by RNA polymerase II
PAX6,GO_0045944,positive regulation of transcription by RNA polymerase II
TNFRSF1A,GO_0045944,positive regulation of transcription by RNA polymerase II
AHR,GO_0045944,positive regulation of transcription by RNA polymerase II
DDIT3,GO_0045944,positive regulation of transcription by RNA polymerase II
RXRB,GO_0045944,positive regulation of transcription by RNA polymerase II
CD40,GO_0045944,positive regulation of transcription by RNA polymerase II
NR1I3,GO_0045944,positive regulation of transcription by RNA polymerase II
SHH,GO_0045944,positive regulation of transcription by RNA polymerase II
NFE2L2,GO_0045944,positive regulation of transcription by RNA polymerase II
HIF1A,GO_0045944,positive regulation of transcription by RNA polymerase II
HSF1,GO_0045944,positive regulation of transcription by RNA polymerase II
HNF4A,GO_0045944,positive regulation of transcription by RNA polymerase II
NR1H4,GO_0045944,positive regulation of transcription by RNA polymerase II
PPARA,GO_0045944,positive regulation of transcription by RNA polymerase II
NRF1,GO_0045944,positive regulation of transcription by RNA polymerase II
PTEN,GO_0045944,positive regulation of transcription by RNA polymerase II
FOXO1,GO_0045944,positive regulation of transcription by RNA polymerase II
NFIA,GO_0045944,positive regulation of transcription by RNA polymerase II
NR4A2,GO_0045944,positive regulation of transcription by RNA polymerase II
AR,GO_0045945,positive regulation of transcription by RNA polymerase III
HSPA1A,GO_0046034,ATP metabolic process
CYP1A1,GO_0046209,nitric oxide metabolic process
PPARA,GO_0046209,nitric oxide metabolic process
CYP1A2,GO_0046222,aflatoxin metabolic process
CYP3A4,GO_0046222,aflatoxin metabolic process
NFE2L2,GO_0046223,aflatoxin catabolic process
PRKAA1,GO_0046318,negative regulation of glucosylceramide biosynthetic process
PDK4,GO_0046320,regulation of fatty acid oxidation
PPARD,GO_0046321,positive regulation of fatty acid oxidation
PPARA,GO_0046321,positive regulation of fatty acid oxidation
TNF,GO_0046325,negative regulation of D-glucose import across plasma membrane
NFE2L2,GO_0046326,positive regulation of D-glucose import across plasma membrane
DUSP3,GO_0046329,negative regulation of JNK cascade
TNF,GO_0046330,positive regulation of JNK cascade
ABCG2,GO_0046415,urate metabolic process
EGF,GO_0046425,regulation of receptor signaling pathway via JAK-STAT
IL6,GO_0046427,positive regulation of receptor signaling pathway via JAK-STAT
CYP2C9,GO_0046456,icosanoid biosynthetic process
CHRM1,GO_0046541,saliva secretion
ABCB11,GO_0046618,xenobiotic export from cell
PTEN,GO_0046621,negative regulation of organ growth
PRKAA1,GO_0046627,negative regulation of insulin receptor signaling pathway
NR1H4,GO_0046628,positive regulation of insulin receptor signaling pathway
SHH,GO_0046638,positive regulation of alpha-beta T cell differentiation
DRD2,GO_0046676,negative regulation of insulin secretion
ADRA2C,GO_0046676,negative regulation of insulin secretion
FOXO1,GO_0046676,negative regulation of insulin secretion
TNF,GO_0046677,response to antibiotic
TP53,GO_0046677,response to antibiotic
CYP1A1,GO_0046685,response to arsenic-containing substance
CAT,GO_0046686,response to cadmium ion
VDR,GO_0046697,decidualization
PPARD,GO_0046697,decidualization
DRD2,GO_0046717,acid secretion
LDLR,GO_0046718,symbiont entry into host cell
ICAM1,GO_0046718,symbiont entry into host cell
HSPA1A,GO_0046718,symbiont entry into host cell
SRC,GO_0046718,symbiont entry into host cell
KDR,GO_0046777,protein autophosphorylation
EZR,GO_0046847,filopodium assembly
PIK3CA,GO_0046854,phosphatidylinositol phosphate biosynthetic process
PTEN,GO_0046856,phosphatidylinositol dephosphorylation
EGR1,GO_0046886,positive regulation of hormone biosynthetic process
HIF1A,GO_0046886,positive regulation of hormone biosynthetic process
ADORA1,GO_0046888,negative regulation of hormone secretion
PPARA,GO_0046889,positive regulation of lipid biosynthetic process
ABCC3,GO_0046942,carboxylic acid transport
FASN,GO_0046949,fatty-acyl-CoA biosynthetic process
HMGCS2,GO_0046951,ketone body biosynthetic process
PIK3CA,GO_0048009,insulin-like growth factor receptor signaling pathway
SRC,GO_0048010,vascular endothelial growth factor receptor signaling pathway
KDR,GO_0048010,vascular endothelial growth factor receptor signaling pathway
HGF,GO_0048012,hepatocyte growth factor receptor signaling pathway
MMP9,GO_0048013,ephrin receptor signaling pathway
SRC,GO_0048013,ephrin receptor signaling pathway
SRC,GO_0048041,focal adhesion assembly
TNF,GO_0048143,astrocyte activation
ADORA2A,GO_0048143,astrocyte activation
TNFRSF1A,GO_0048143,astrocyte activation
COL3A1,GO_0048144,fibroblast proliferation
MYC,GO_0048146,positive regulation of fibroblast proliferation
CDKN1A,GO_0048146,positive regulation of fibroblast proliferation
TP53,GO_0048147,negative regulation of fibroblast proliferation
MYC,GO_0048147,negative regulation of fibroblast proliferation
DRD2,GO_0048148,behavioral response to cocaine
DRD4,GO_0048148,behavioral response to cocaine
FGF2,GO_0048149,behavioral response to ethanol
DRD2,GO_0048149,behavioral response to ethanol
DRD4,GO_0048149,behavioral response to ethanol
OPRM1,GO_0048149,behavioral response to ethanol
RARA,GO_0048167,regulation of synaptic plasticity
DRD2,GO_0048169,regulation of long-term neuronal synaptic plasticity
SLC22A1,GO_0048241,epinephrine transport
CCL2,GO_0048246,macrophage chemotaxis
COL3A1,GO_0048251,elastic fiber assembly
SERPINE1,GO_0048260,positive regulation of receptor-mediated endocytosis
TSPO,GO_0048265,response to pain
TSPO,GO_0048266,behavioral response to pain
VDR,GO_0048384,retinoic acid receptor signaling pathway
RARA,GO_0048384,retinoic acid receptor signaling pathway
PPARG,GO_0048384,retinoic acid receptor signaling pathway
RXRA,GO_0048384,retinoic acid receptor signaling pathway
SHH,GO_0048468,cell development
PPARG,GO_0048469,cell maturation
RXRA,GO_0048469,cell maturation
TP53,GO_0048511,rhythmic process
SP1,GO_0048511,rhythmic process
AHR,GO_0048511,rhythmic process
RORA,GO_0048511,rhythmic process
PPARG,GO_0048511,rhythmic process
EGR1,GO_0048511,rhythmic process
DRD4,GO_0048511,rhythmic process
RORC,GO_0048511,rhythmic process
PRKAA1,GO_0048511,rhythmic process
HNF4A,GO_0048511,rhythmic process
PPARA,GO_0048511,rhythmic process
TP53,GO_0048512,circadian behavior
COL3A1,GO_0048513,animal organ development
COL1A1,GO_0048513,animal organ development
HGF,GO_0048513,animal organ development
SHH,GO_0048513,animal organ development
COL4A1,GO_0048514,blood vessel morphogenesis
TGFB1,GO_0048535,lymph node development
SHH,GO_0048538,thymus development
TP53,GO_0048539,bone marrow development
FOS,GO_0048545,response to steroid hormone
COL1A1,GO_0048545,response to steroid hormone
CCND1,GO_0048545,response to steroid hormone
GLI1,GO_0048546,digestive tract morphogenesis
TGFB1,GO_0048565,digestive tract development
CYP1A1,GO_0048565,digestive tract development
TNF,GO_0048566,embryonic digestive tract development
CXCL8,GO_0048566,embryonic digestive tract development
FGF2,GO_0048598,embryonic morphogenesis
TGFB1,GO_0048642,negative regulation of skeletal muscle tissue development
TGFB1,GO_0048661,positive regulation of smooth muscle cell proliferation
TNF,GO_0048661,positive regulation of smooth muscle cell proliferation
IL6R,GO_0048661,positive regulation of smooth muscle cell proliferation
FGF2,GO_0048661,positive regulation of smooth muscle cell proliferation
