sym,goid,goLabel
COL3A1,GO_0035904,aorta development
KDR,GO_0035924,cellular response to vascular endothelial growth factor stimulus
VCAM1,GO_0035924,cellular response to vascular endothelial growth factor stimulus
MMP9,GO_0035987,endodermal cell differentiation
PIK3CA,GO_0035994,response to muscle stretch
TNF,GO_0036005,response to macrophage colony-stimulating factor
CD40,GO_0036018,cellular response to erythropoietin
COL3A1,GO_0036022,limb joint morphogenesis
DDIT3,GO_0036119,response to platelet-derived growth factor
TGFB1,GO_0036120,cellular response to platelet-derived growth factor stimulus
PLAT,GO_0036211,protein modification process
CASP3,GO_0036269,swimming behavior
RORA,GO_0036315,cellular response to sterol
RORC,GO_0036315,cellular response to sterol
KDR,GO_0036324,vascular endothelial growth factor receptor-2 signaling pathway
FAS,GO_0036337,Fas signaling pathway
CYP3A4,GO_0036378,calcitriol biosynthetic process from calciol
