trait,tlabel,n_genes
http://purl.obolibrary.org/obo/OBA_1001085,Waist circumference,42
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e400916c9394f952ebfe,Primary open-angle glaucoma,42
http://www.orpha.net/ORDO/Orphanet_520814,Rare disorder of the visual organs,42
http://www.orpha.net/ORDO/Orphanet_79386,Rare skin tumor or hamartoma,42
http://www.orpha.net/ORDO/Orphanet_97966,Rare ophthalmic disorder,42
https://purl.org/okn/frink/kg/digcfdekg/node/trait/fb80dccd32a8ddc12bdb,Type 2 diabetes (with history of pregnancy),42
http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement,42
http://www.ebi.ac.uk/efo/EFO_0004725,metabolite measurement,42
https://purl.org/okn/frink/kg/digcfdekg/node/trait/3c14d8224c48b3442829,Adrenal hyperfunction,42
http://www.orpha.net/ORDO/Orphanet_186,Primary biliary cholangitis,42
http://www.orpha.net/ORDO/Orphanet_271870,Rare genetic systemic or rheumatologic disease,42
http://purl.obolibrary.org/obo/HP_0002619,Varicose veins,41
http://www.ebi.ac.uk/efo/EFO_0004529,lipid measurement,41
https://purl.org/okn/frink/kg/digcfdekg/node/trait/6704c490dd2171ef8214,Intertrochanteric-shaft area,41
http://www.ebi.ac.uk/efo/EFO_0007800,body fat percentage,41
http://www.orpha.net/ORDO/Orphanet_400008,Rare genetic female infertility,41
http://www.orpha.net/ORDO/Orphanet_183487,Genetic skin tumor or hamartoma,41
http://www.orpha.net/ORDO/Orphanet_98047,Rare infertility,41
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f3c3b568a826011e33c6,Random and fasting glucose,41
http://www.orpha.net/ORDO/Orphanet_101435,Rare genetic eye disease,41
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ec6792dc611afa34bd8a,Total body lean mass,41
https://purl.org/okn/frink/kg/digcfdekg/node/trait/871efef9072fe596a29f,Monocyte percentage,41
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5052dfcb1d6fb1145370,Lumbar spine area,41
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f536cb6072cfe6124034,Forearm fracture,41
http://www.ebi.ac.uk/efo/EFO_0005090,Basophil count,40
http://www.orpha.net/ORDO/Orphanet_98028,Rare circulatory system disease,40
http://www.orpha.net/ORDO/Orphanet_223735,Lymphoma,40
http://www.ebi.ac.uk/efo/EFO_0007788,BMI-adjusted waist-hip ratio,40
http://www.orpha.net/ORDO/Orphanet_171898,Lymphoid hemopathy,40
http://www.orpha.net/ORDO/Orphanet_171895,Myeloid hemopathy,40
http://www.ebi.ac.uk/efo/EFO_0009718,peak expiratory flow,40
http://www.ebi.ac.uk/efo/EFO_0000195,metabolic syndrome,40
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e1522bde06a52717db8a,Serum ApoA,40
http://www.ebi.ac.uk/efo/EFO_0004570,bilirubin measurement,40
http://www.ebi.ac.uk/efo/EFO_0004980,appendicular lean mass,40
http://www.ebi.ac.uk/efo/EFO_0007629,hemoglobin A1 measurement,40
http://www.orpha.net/ORDO/Orphanet_522504,Rare genetic disorder of the visual organs,40
http://purl.obolibrary.org/obo/HP_0008843,Hip osteoarthritis,40
http://www.ebi.ac.uk/efo/EFO_0007929,triglyceride:HDL cholesterol ratio,39
http://www.orpha.net/ORDO/Orphanet_404584,Rare genetic bone development disorder,39
http://www.ebi.ac.uk/efo/EFO_0004309,Platelet count,39
http://www.orpha.net/ORDO/Orphanet_139012,Rare bone development disorder,39
https://purl.org/okn/frink/kg/digcfdekg/node/trait/853d022489a47fc51200,Chloride,39
https://purl.org/okn/frink/kg/digcfdekg/node/trait/83b12cec37e9f2eb824f,serum metabolite measurement,39
http://www.orpha.net/ORDO/Orphanet_102283,Multiple congenital anomalies/dysmorphic syndrome-intellectual disability,39
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f91b1a3eb8c5f40a79d7,Corrected insulin response (CIR),39
http://www.orpha.net/ORDO/Orphanet_611327,Genetic multiple congenital anomalies/dysmorphic syndrome-intellectual disability,39
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),39
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b9c52dc172d0767e7c2b,leukocyte count,39
http://www.orpha.net/ORDO/Orphanet_98056,Rare genetic renal disease,39
http://www.orpha.net/ORDO/Orphanet_182130,Tumor of endocrine glands,39
http://www.ebi.ac.uk/efo/EFO_0004587,lymphocyte count,39
http://www.orpha.net/ORDO/Orphanet_156619,Rare genetic urogenital disease,38
http://www.orpha.net/ORDO/Orphanet_183573,Genetic overgrowth/obesity syndrome,38
http://www.ebi.ac.uk/efo/EFO_0004312,vital capacity,38
https://purl.org/okn/frink/kg/digcfdekg/node/trait/efb50b94c9e588000494,Atrial fibrillation,38
http://www.orpha.net/ORDO/Orphanet_183524,Rare genetic bone disease,38
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ca20af2140615a3299fd,VAT adjusted for BMI and height,38
http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement,38
http://www.orpha.net/ORDO/Orphanet_169361,Immune dysregulation disease with immunodeficiency,38
http://www.orpha.net/ORDO/Orphanet_97935,Rare gastroenterologic disease,37
http://www.ebi.ac.uk/efo/EFO_0009933,Thyroid preparation use measurement,37
https://purl.org/okn/frink/kg/digcfdekg/node/trait/795c8a0335f0bd0adfe3,Atrial fibrillation or flutter,37
https://purl.org/okn/frink/kg/digcfdekg/node/trait/147bf20520e4add29eb9,Chronic kidney disease (CKD),37
http://www.ebi.ac.uk/efo/EFO_0004703,age at menarche,37
https://purl.org/okn/frink/kg/digcfdekg/node/trait/adc1bfc966fddd4c25c5,Forced expired volume in 1 second (FEV1),37
http://www.orpha.net/ORDO/Orphanet_325690,Genetic difference of sex development,37
https://purl.org/okn/frink/kg/digcfdekg/node/trait/dfe4bf6fbc4750b5d690,Multi-variate aging,37
http://www.orpha.net/ORDO/Orphanet_101952,Rare diabetes mellitus,37
http://www.orpha.net/ORDO/Orphanet_90771,Difference of sex development,37
http://www.orpha.net/ORDO/Orphanet_158300,Rare genetic hematologic disease,37
http://www.orpha.net/ORDO/Orphanet_183628,Rare genetic hypothalamic or pituitary disease,37
http://www.orpha.net/ORDO/Orphanet_547,Non-Hodgkin lymphoma,37
http://www.orpha.net/ORDO/Orphanet_101433,Rare urogenital disease,37
http://www.ebi.ac.uk/efo/EFO_0007989,monocyte percentage of leukocytes,37
http://www.orpha.net/ORDO/Orphanet_183625,Rare genetic diabetes mellitus,37
http://www.ebi.ac.uk/efo/EFO_0007994,neutrophil percentage of granulocytes,37
http://www.ebi.ac.uk/efo/EFO_0007985,platelet crit,37
http://www.ebi.ac.uk/efo/EFO_0007789,BMI-adjusted waist circumference,37
https://purl.org/okn/frink/kg/digcfdekg/node/trait/45ebb77b7cf81de7a085,Any stroke,37
http://www.orpha.net/ORDO/Orphanet_98026,Rare odontologic disease,36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/150cfcee6e3e6fb073a9,Serum creatinine,36
http://www.ebi.ac.uk/efo/EFO_0004995,lean body mass,36
http://www.ebi.ac.uk/efo/EFO_0009961,Insulinogenic index,36
http://www.orpha.net/ORDO/Orphanet_101988,Primary immunodeficiency due to a defect in innate immunity,36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a5282639a2696970038,FEV1 to FVC ratio,36
http://www.orpha.net/ORDO/Orphanet_275742,Genetic infertility,36
http://www.ebi.ac.uk/efo/EFO_0005116,urinary metabolite measurement,36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/53f4fbe3ff2005a9aaa6,Pulse pressure,36
http://www.orpha.net/ORDO/Orphanet_364526,Primary bone dysplasia,36
http://www.orpha.net/ORDO/Orphanet_399831,Rare female infertility due to hypothalamic-pituitary-gonadal axis disorder,36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/471730f555204ddbfe26,Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration),36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0b1c98d794948c955d83,eGFRcreat (serum creatinine),36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5f3d8029c251a06d98fe,Free thyroxine (FT4),36
http://purl.obolibrary.org/obo/HP_0000964,Eczematoid dermatitis,36
http://www.orpha.net/ORDO/Orphanet_57146,Rare hepatic disease,36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c1ded27eb942ef52669d,Thyroid-stimulating hormone levels,36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0032ae6b6a3774201724,Modified insulinogenic index,36
http://www.ebi.ac.uk/efo/EFO_0004615,apolipoprotein B measurement,36
http://www.orpha.net/ORDO/Orphanet_98048,Rare male infertility,36
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9b229501acd9c5c120b0,Dyslipidemia,36
http://www.orpha.net/ORDO/Orphanet_101998,Rare epilepsy,36
http://www.orpha.net/ORDO/Orphanet_309005,Disorder of lipid metabolism,36
http://www.ebi.ac.uk/efo/EFO_0007993,lymphocyte percentage of leukocytes,35
https://purl.org/okn/frink/kg/digcfdekg/node/trait/58986b903943c95e0291,Total knee and-or hip replacement,35
http://purl.obolibrary.org/obo/MONDO_0005271,allergic disease,35
http://purl.obolibrary.org/obo/HP_0025267,Snoring,35
http://www.ebi.ac.uk/efo/EFO_0004468,glucose measurement,35
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f6fe5e189cbbead3c70e,size,35
http://www.ebi.ac.uk/efo/EFO_0004469,HOMA-B,35
http://www.ebi.ac.uk/efo/EFO_0004458,C-reactive protein measurement,35
http://www.ebi.ac.uk/efo/EFO_0004536,total blood protein measurement,35
http://www.ebi.ac.uk/efo/EFO_0009270,heel bone mineral density,35
http://www.orpha.net/ORDO/Orphanet_399983,Rare male infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin,35
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8f5fd05e50b0c339dd99,VAT to ASAT ratio,35
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0bac9f5aab1a1b4106c0,eGFRcr-cys (serum creatinine and cystatin C),35
http://www.orpha.net/ORDO/Orphanet_280342,Rare systemic or rheumatological disease of childhood,35
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4292856cef5530408df0,Stumvoll first-phase secretion,35
https://purl.org/okn/frink/kg/digcfdekg/node/trait/64659e917cd84cd8607c,Waist circumference adj BMI-smoking status,34
http://www.orpha.net/ORDO/Orphanet_101940,Rare metabolic liver disease,34
https://purl.org/okn/frink/kg/digcfdekg/node/trait/32777bf4cd0e453ba40a,asthma,34
http://purl.obolibrary.org/obo/HP_0005086,Knee osteoarthritis,34
https://purl.org/okn/frink/kg/digcfdekg/node/trait/a6f45a4eecab52e52562,Bicarbonate levels,34
http://www.ebi.ac.uk/efo/EFO_0008039,BMI-adjusted hip circumference,34
https://purl.org/okn/frink/kg/digcfdekg/node/trait/441d2f7de35ec0549f82,Snoring adj BMI,34
