chemical,disease,category,genes_ICE_x_rdkg,effect_domain,aop_curated,min_AC50_uM,key_genes,n_evidence_types,tier
BisGMA,non-alcoholic steatohepatitis,Metabolic/Liver,8,1,0,1.866,CYP19A1|NFE2L2|NR1H4|NR1I2|PPARA|PPARD|SREBF1|XBP1,2,B
BPAP,prostate cancer,Hormone-dependent cancer,8,1,0,0.116,AR|EGR1|ESR1|ESR2|HIF1A|NFE2L2|PAX6|VDR,2,B
BPZ,prostate cancer,Hormone-dependent cancer,8,1,0,0.18,AR|CYP19A1|ESR1|ESR2|HIF1A|NFE2L2|NR3C1|TP53,2,B
BPB,endometrial carcinoma,Hormone-dependent cancer,8,1,0,0.103,CCL2|CCND1|CXCL8|ESR1|ESR2|NFE2L2|PGR|PTEN,2,B
TCBPA,thyroid cancer,Thyroid/Endocrine,8,1,0,0.2,CCL2|CXCL10|CXCL8|IL6|PIK3CA|PPARG|TNF|TP53,2,B
BisGMA,obesity disorder,Metabolic,7,1,0,1.866,ESR1|NR1I2|NR1I3|PPARA|PPARD|PPARG|SREBF1,2,B
BPE,liver cancer,Cancer,7,1,0,0.247,AR|ESR1|NFE2L2|NR1I3|PPARA|PPARG|SHH,2,B
BPF,breast carcinoma,Hormone-dependent cancer,7,1,0,2.087,AR|ESR1|ESR2|HIF1A|PGR|RAD54L|VDR,2,B
BPAF,endometrial carcinoma,Hormone-dependent cancer,7,1,0,0.035,CCL2|CXCL8|ESR1|ESR2|MYC|NFE2L2|PGR,2,B
TBBPA-DHEE,endometrial carcinoma,Hormone-dependent cancer,7,1,0,4.0,CCL2|CXCL8|DCN|ESR1|ESR2|NFE2L2|PGR,2,B
BADGE,non-alcoholic steatohepatitis,Metabolic/Liver,6,1,0,6.958,CYP19A1|NFE2L2|NR1H4|NR1I2|SREBF1|XBP1,2,B
BPE,obesity disorder,Metabolic,6,1,0,0.247,ESR1|NR1I2|NR1I3|PPARA|PPARD|PPARG,2,B
TBBPA-DHEE,type 2 diabetes mellitus,Metabolic,6,1,0,2.733,ETS1|ICAM1|PAX6|PPARG|TIMP1|TNF,2,B
