DTXSID,abbr,chemLabel,assayName,entrez,ac50_uM,symbol
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_FOXO3_dn,2309,87.4525933243944,FOXO3
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_HGF_up,3082,85.341707895313,HGF
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_HSPA1A_dn,3303,37.3288897700136,HSPA1A
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_IL6R_dn,3570,86.4536826384543,IL6R
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_JUN_dn,3725,93.3135153329582,JUN
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_NQO1_dn,1728,37.5464320493323,NQO1
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_PEG10_dn,23089,75.1478503945371,PEG10
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_PTEN_dn,5728,45.6322908247493,PTEN
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_SDHB_dn,6390,35.7461537167622,SDHB
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_SLCO1B1_dn,10599,49.3589768232016,SLCO1B1
DTXSID4022442,BPB,Bisphenol B,LTEA_HepaRG_THRSP_dn,7069,95.3890268987606,THRSP
DTXSID4022442,BPB,Bisphenol B,NVS_ADME_hCYP2C9,1559,7.35197722804651,CYP2C9
DTXSID4022442,BPB,Bisphenol B,NVS_GPCR_h5HT6,3362,6.88718255883786,HTR6
DTXSID4022442,BPB,Bisphenol B,NVS_GPCR_h5HT7,3363,21.8107929644428,HTR7
DTXSID4022442,BPB,Bisphenol B,NVS_GPCR_hAdoRA1,134,23.319604788656,ADORA1
DTXSID4022442,BPB,Bisphenol B,NVS_GPCR_hDRD1,1812,15.1367249424206,DRD1
DTXSID4022442,BPB,Bisphenol B,NVS_GPCR_hOpiate_D1,4985,17.2281746794526,OPRD1
DTXSID4022442,BPB,Bisphenol B,NVS_GPCR_hOpiate_mu,4988,12.4339782743946,OPRM1
DTXSID4022442,BPB,Bisphenol B,NVS_MP_hPBR,706,9.98293264197863,TSPO
DTXSID4022442,BPB,Bisphenol B,NVS_NR_hAR,367,2.22615384115003,AR
DTXSID4022442,BPB,Bisphenol B,NVS_NR_hER,2099,0.270507360843984,ESR1
DTXSID4022442,BPB,Bisphenol B,NVS_NR_hGR,2908,0.6504881790742,NR3C1
DTXSID4022442,BPB,Bisphenol B,NVS_NR_hPR,5241,14.1173934234981,PGR
DTXSID4022442,BPB,Bisphenol B,NVS_NR_hPXR,8856,6.32282700048317,NR1I2
DTXSID4022442,BPB,Bisphenol B,NVS_TR_hDAT,6531,10.6025316753454,SLC6A3
DTXSID4022442,BPB,Bisphenol B,NVS_TR_hNET,6530,18.9456732763935,SLC6A2
DTXSID4022442,BPB,Bisphenol B,OT_AR_ARSRC1_0480,367,36.6511876886688,AR
DTXSID4022442,BPB,Bisphenol B,OT_AR_ARSRC1_0960,367,38.534937878141,AR
DTXSID4022442,BPB,Bisphenol B,OT_ER_ERaERa_0480,2099,1.82412153408717,ESR1
DTXSID4022442,BPB,Bisphenol B,OT_ER_ERaERa_1440,2099,0.505165372522616,ESR1
DTXSID4022442,BPB,Bisphenol B,OT_ER_ERaERb_0480,2099,0.252016325333598,ESR1
DTXSID4022442,BPB,Bisphenol B,OT_ER_ERaERb_1440,2099,0.231756411199824,ESR1
DTXSID4022442,BPB,Bisphenol B,OT_ER_ERbERb_0480,2100,0.102989988226927,ESR2
DTXSID4022442,BPB,Bisphenol B,OT_ER_ERbERb_1440,2100,0.144956780323188,ESR2
DTXSID4022442,BPB,Bisphenol B,OT_ERa_EREGFP_0120,2099,0.183374417123927,ESR1
DTXSID4022442,BPB,Bisphenol B,OT_ERa_EREGFP_0480,2099,0.219629320078471,ESR1
DTXSID4022442,BPB,Bisphenol B,OT_FXR_FXRSRC1_1440,6714,18.9871433909716,SRC
DTXSID4022442,BPB,Bisphenol B,OT_NURR1_NURR1RXRa_0480,4929,31.0683291934915,NR4A2
DTXSID4022442,BPB,Bisphenol B,TOX21_AP1_BLA_Agonist_ratio,3725,45.9654618010976,JUN
DTXSID4022442,BPB,Bisphenol B,TOX21_ARE_BLA_agonist_ratio,4780,28.2528448590536,NFE2L2
DTXSID4022442,BPB,Bisphenol B,TOX21_AR_BLA_Antagonist_ratio,367,25.0085573251734,AR
DTXSID4022442,BPB,Bisphenol B,TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881,367,15.756279589338,AR
DTXSID4022442,BPB,Bisphenol B,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881,367,56.66853009809,AR
DTXSID4022442,BPB,Bisphenol B,TOX21_Aromatase_Inhibition,1588,60.8450546477533,CYP19A1
DTXSID4022442,BPB,Bisphenol B,TOX21_CAR_Agonist,9970,3.94233563729695,NR1I3
DTXSID4022442,BPB,Bisphenol B,TOX21_CAR_Antagonist,9970,0.273482204735307,NR1I3
DTXSID4022442,BPB,Bisphenol B,TOX21_DT40_100,8438,45.1965916626511,RAD54L
