mondo,dlabel,k,K,expected,fold,p,FDR
MONDO_0005233,non-small cell lung carcinoma (disease),18,156,2.9722466960352425,6.056024899955536,7.817977269067339e-10,3.1820539060063555e-09
MONDO_0003582,hereditary breast ovarian cancer syndrome,52,1156,22.02511013215859,2.36094165649939,1.0643052364208372e-09,4.257220945683349e-09
MONDO_0005468,hypotensive disorder,11,53,1.0098017621145374,10.893227178536373,3.3289096502311417e-09,1.3089949811078388e-08
MONDO_0002277,arteriosclerosis disorder,15,115,2.191079295154185,6.845941191254084,3.945109425883855e-09,1.500435060336155e-08
MONDO_0005311,atherosclerosis,15,115,2.191079295154185,6.845941191254084,3.945109425883855e-09,1.500435060336155e-08
MONDO_0021117,lung neoplasm,22,266,5.068061674008811,4.34091007866487,5.691920503903368e-09,2.129879930492873e-08
MONDO_0002492,acute kidney failure,14,101,1.9243392070484582,7.275224632289818,5.956862201355609e-09,2.193638143991272e-08
MONDO_0006857,middle cerebral artery infarction,9,34,0.6477973568281938,13.89323359401564,9.359704811714015e-09,3.3928929942463305e-08
MONDO_0005155,cirrhosis of liver,14,105,2.0005506607929515,6.998073217726397,9.972296423783848e-09,3.559342723565928e-08
MONDO_0018184,gastric linitis plastica,23,300,5.715859030837004,4.023892100192678,1.0652974437516907e-08,3.744681923490792e-08
MONDO_0021085,gastric neoplasm,23,302,5.753964757709251,3.9972438081384225,1.2084171405459816e-08,4.184369800099518e-08
MONDO_0001056,gastric cancer,23,303,5.7730176211453745,3.9840515843491864,1.2865052549996553e-08,4.3256408573901454e-08
MONDO_0004950,gastric carcinoma,23,303,5.7730176211453745,3.9840515843491864,1.2865052549996553e-08,4.3256408573901454e-08
MONDO_0005252,heart failure,14,110,2.095814977973568,6.679978980557015,1.8383362482952265e-08,6.006957881753416e-08
MONDO_0005009,congestive heart failure,14,110,2.095814977973568,6.679978980557015,1.8383362482952265e-08,6.006957881753416e-08
MONDO_0016686,diffuse astrocytoma,11,62,1.1812775330396477,9.311952265523027,1.9135540680163462e-08,6.165896441386004e-08
MONDO_0016689,gemistocytic astrocytoma,11,63,1.200330396475771,9.164143499403615,2.2804264863320585e-08,6.961301905645232e-08
MONDO_0016687,protoplasmic astrocytoma,11,63,1.200330396475771,9.164143499403615,2.2804264863320585e-08,6.961301905645232e-08
